Player,GP,G,A,PTS,PIM,S,TOI,BLK,HIT,FOW,FOL
Connor McDavid,82,30,70,100,26,251,1733,29,34,348,458
Sidney Crosby,75,44,45,89,24,255,1491,27,80,842,906
Patrick Kane,82,34,55,89,32,292,1754,15,28,7,44
Nicklas Backstrom,82,23,63,86,38,162,1497,33,45,685,648
Nikita Kucherov,74,40,45,85,38,246,1438,20,30,0,0
Brad Marchand,80,39,46,85,81,226,1555,35,51,13,23
Mark Scheifele,79,32,50,82,38,160,1624,34,49,635,826
Leon Draisaitl,82,29,48,77,20,172,1548,36,41,476,496
Brent Burns,82,29,47,76,40,320,2039,142,69,0,0
Vladimir Tarasenko,82,39,36,75,12,286,1515,31,50,5,5
Artemi Panarin,82,31,43,74,21,211,1597,14,23,2,8
Blake Wheeler,82,26,48,74,47,259,1652,51,100,43,51
Ryan Getzlaf,74,15,58,73,49,138,1559,88,99,509,503
Evgeni Malkin,62,33,39,72,77,191,1154,25,40,365,481
Tyler Seguin,82,26,46,72,22,301,1514,26,60,401,385
Victor Hedman,79,16,56,72,47,166,1936,132,93,0,0
Erik Karlsson,77,17,54,71,28,218,2066,201,67,0,0
David Pastrnak,75,34,36,70,34,262,1349,32,72,2,1
Phil Kessel,82,23,47,70,20,229,1471,15,12,5,10
Auston Matthews,82,40,29,69,14,279,1446,61,21,530,600
Alex Ovechkin,82,33,36,69,50,313,1506,29,216,0,1
Jamie Benn,77,26,43,69,66,201,1492,47,89,212,200
Mikael Granlund,81,26,43,69,12,177,1525,50,50,16,17
Joe Pavelski,81,29,39,68,34,233,1549,73,130,448,407
Henrik Zetterberg,82,17,51,68,22,195,1617,30,58,705,657
Max Pacioretty,81,35,32,67,38,268,1553,35,63,27,23
Jeff Carter,82,32,34,66,41,250,1479,37,86,735,680
John Tavares,77,28,38,66,38,260,1572,20,42,824,804
Eric Staal,82,28,37,65,34,211,1526,39,42,577,597
Patrik Laine,73,36,28,64,26,204,1308,33,80,0,3
Nikolaj Ehlers,82,25,39,64,38,204,1434,28,43,0,4
Jeff Skinner,79,37,26,63,28,281,1401,28,33,10,17
Cam Atkinson,82,35,27,62,22,240,1483,34,33,2,1
James van Riemsdyk,82,29,33,62,37,238,1303,29,62,1,4
Nazem Kadri,82,32,29,61,95,236,1360,31,124,543,587
Viktor Arvidsson,80,31,30,61,28,246,1372,45,23,4,12
Mike Hoffman,74,26,35,61,51,224,1302,21,41,12,9
William Nylander,81,22,39,61,32,205,1297,16,25,49,73
Jakub Voracek,82,20,41,61,56,253,1565,22,30,3,11
Mitch Marner,77,19,42,61,38,176,1294,39,41,14,23
Johnny Gaudreau,72,18,43,61,4,182,1331,14,9,0,0
Ryan Johansen,82,14,47,61,60,154,1545,28,77,803,669
Evgeny Kuznetsov,82,19,40,59,46,170,1390,18,57,456,581
Mats Zuccarello,80,15,44,59,26,189,1506,52,85,6,7
Alexander Wennberg,80,13,46,59,21,109,1470,56,58,609,676
Filip Forsberg,82,31,27,58,32,234,1518,26,97,5,13
Sean Monahan,82,27,31,58,20,199,1441,25,34,743,701
Marcus Johansson,82,24,34,58,10,129,1394,22,32,13,15
Ryan Kesler,82,22,36,58,83,186,1747,75,146,1029,764
Jonathan Toews,72,21,37,58,35,199,1451,32,43,852,700
Mikko Koivu,80,18,40,58,34,139,1529,65,32,938,761
Claude Giroux,82,14,44,58,38,199,1568,28,68,977,771
Nino Niederreiter,82,25,32,57,53,186,1236,20,120,0,1
Jack Eichel,61,24,33,57,22,249,1215,35,26,310,486
T.J. Oshie,68,33,23,56,36,143,1214,50,95,87,93
J.T. Miller,82,22,34,56,21,132,1342,56,101,157,200
Charlie Coyle,82,18,38,56,36,159,1370,63,101,114,134
Josh Bailey,82,13,43,56,12,173,1506,53,37,8,7
Kyle Turris,78,27,28,55,47,185,1521,61,21,650,575
Brayden Schenn,79,25,30,55,38,178,1407,42,189,232,262
Ryan O'Reilly,72,20,35,55,10,189,1545,45,21,1039,752
Radim Vrbata,81,20,35,55,16,233,1369,31,48,17,30
Jaden Schwartz,78,19,36,55,18,179,1475,43,71,67,73
Tyler Bozak,78,18,37,55,30,145,1282,26,45,774,591
Derek Stepan,81,17,38,55,16,209,1507,45,26,716,806
Wayne Simmonds,82,31,23,54,122,224,1556,60,162,8,9
David Krejci,82,23,31,54,26,158,1498,51,40,657,620
Vincent Trocheck,82,23,31,54,43,230,1708,51,164,835,829
Mark Stone,71,22,32,54,25,134,1318,53,43,10,15
Alexander Radulov,76,18,36,54,62,147,1390,41,76,6,6
Chris Kreider,75,28,25,53,58,186,1275,30,132,5,4
Kyle Palmieri,80,26,27,53,46,192,1388,36,124,12,17
Brandon Saad,82,24,29,53,8,210,1396,26,24,4,5
Conor Sheary,61,23,30,53,22,154,972,23,29,0,0
Mikael Backlund,81,22,31,53,36,197,1426,41,55,711,768
Patrice Bergeron,79,21,32,53,24,302,1534,47,54,1086,722
Jonathan Drouin,73,21,32,53,16,183,1293,16,50,96,124
Taylor Hall,72,20,33,53,32,238,1392,31,59,8,10
Corey Perry,82,19,34,53,76,215,1453,35,81,7,13
Nathan MacKinnon,82,16,37,53,16,251,1635,30,56,768,752
